reaction,count,PRR,risk_score
FATIGUE,52,1.69,0.44
ANAEMIA,37,3.86,0.54
DIZZINESS,36,1.26,0.44
HAEMOGLOBIN DECREASED,33,5.33,0.64
DIARRHOEA,28,1.31,0.36
HEADACHE,28,0.87,0.32
DYSPNOEA,28,0.56,0.5
PAIN,24,1.07,0.67
NAUSEA,23,0.93,0.35
PLATELET COUNT DECREASED,22,5.08,0.55
INSOMNIA,21,2.03,0.52
WEIGHT DECREASED,21,2.09,0.62
CONTUSION,21,4.68,0.29
DRUG INTERACTION,20,1.75,0.95
RASH,19,1.48,0.58
GASTROINTESTINAL HAEMORRHAGE,19,3.96,1.0
DRUG INEFFECTIVE,17,0.49,0.24
PAIN IN EXTREMITY,16,1.72,0.69
WEIGHT INCREASED,16,1.62,0.56
DECREASED APPETITE,15,2.25,0.27
ASTHENIA,15,1.04,0.47
PRURITUS,15,1.35,0.6
PYREXIA,15,1.21,0.67
ARTHRALGIA,14,2.21,0.79
FALL,14,1.02,0.79
TYPE 2 DIABETES MELLITUS,14,0.33,1.0
COUGH,13,0.68,0.46
CONSTIPATION,12,2.04,0.33
GAIT DISTURBANCE,12,1.52,0.67
URINARY TRACT INFECTION,12,2.15,0.83
HYPOAESTHESIA,12,1.69,0.42
ABDOMINAL PAIN UPPER,12,1.46,0.33
SPLENOMEGALY,12,7.76,0.17
MALAISE,11,0.49,0.45
ABDOMINAL PAIN,10,0.81,0.5
BACK PAIN,10,1.62,0.2
OEDEMA PERIPHERAL,10,0.89,0.6
CHEST PAIN,10,0.95,0.6
RED BLOOD CELL COUNT DECREASED,9,9.69,0.56
EPISTAXIS,9,2.24,0.56
OFF LABEL USE,9,0.77,0.78
PNEUMONIA,9,0.77,0.67
DEATH,9,0.34,1.0
MYALGIA,9,1.88,0.89
WHITE BLOOD CELL COUNT DECREASED,8,4.31,0.38
LOSS OF CONSCIOUSNESS,8,1.33,1.0
HYPERSENSITIVITY,8,1.18,0.75
ANXIETY,8,0.82,0.88
ERYTHEMA,8,1.12,0.38
HYPERTENSION,8,1.57,0.62
MUSCLE SPASMS,8,0.94,0.5
VOMITING,8,0.51,0.75
ANHEDONIA,8,17.24,1.0
TENSION,8,51.71,1.0
MULTIPLE INJURIES,8,51.71,1.0
DEHYDRATION,8,1.33,0.88
NASOPHARYNGITIS,7,0.46,0.43
DEFORMITY,7,22.62,1.0
SYNCOPE,7,1.16,0.86
FEELING ABNORMAL,7,0.72,0.86
MYOCARDIAL INFARCTION,7,1.51,1.0
CEREBROVASCULAR ACCIDENT,7,1.1,1.0
ATRIAL FIBRILLATION,7,2.06,0.86
PSYCHOLOGICAL TRAUMA,7,45.24,1.0
MUSCULOSKELETAL PAIN,6,3.88,0.67
HAEMATOCRIT DECREASED,6,9.69,0.67
TREMOR,6,0.92,0.5
LOCAL SWELLING,6,1.38,0.5
DRY SKIN,6,6.46,0.67
HYPERHIDROSIS,6,1.38,0.17
ABDOMINAL DISTENSION,6,1.14,0.17
DRUG DOSE OMISSION,6,0.95,0.33
UNRESPONSIVE TO STIMULI,6,4.85,1.0
INCREASED TENDENCY TO BRUISE,6,12.93,0.83
BLOOD COUNT ABNORMAL,6,2.15,0.67
FLATULENCE,6,2.98,0.0
WHITE BLOOD CELL COUNT INCREASED,6,2.42,0.17
RESPIRATORY FAILURE,5,1.8,1.0
PALPITATIONS,5,0.85,1.0
SINUSITIS,5,0.85,1.0
CEREBRAL HAEMORRHAGE,5,3.59,1.0
SKIN LESION,5,4.04,0.4
DEPRESSION,5,0.54,0.6
MUSCULAR WEAKNESS,5,0.85,0.4
ACUTE MYOCARDIAL INFARCTION,5,5.39,1.0
INFECTION,5,1.04,1.0
DRUG HYPERSENSITIVITY,5,0.46,0.4
HYPOTENSION,4,0.46,1.0
SKIN DISCOLOURATION,4,2.59,0.75
HAEMATURIA,4,2.59,1.0
BALANCE DISORDER,4,1.18,0.75
HEARING IMPAIRED,4,2.35,1.0
NIGHT SWEATS,4,3.69,0.75
BLOOD PRESSURE INCREASED,4,1.23,0.75
RECTAL HAEMORRHAGE,4,1.44,1.0
OEDEMA,4,0.34,0.25
HAEMATEMESIS,4,4.31,1.0
HAEMATOCHEZIA,4,2.35,0.75
THERAPEUTIC RESPONSE UNEXPECTED,4,5.17,0.5
ARTHRITIS,4,1.72,0.75
POLLAKIURIA,4,3.23,0.25
BONE PAIN,4,2.87,0.25
DISEASE PROGRESSION,4,0.6,0.75
DYSPNOEA EXERTIONAL,4,1.36,0.5
ANGINA PECTORIS,4,3.69,1.0
ASPARTATE AMINOTRANSFERASE INCREASED,4,5.17,0.5
RENAL FAILURE,4,1.99,1.0
PLATELET COUNT INCREASED,4,5.17,0.0
ABDOMINAL DISCOMFORT,4,0.89,0.75
VISUAL ACUITY REDUCED,4,1.99,1.0
NEUROPATHY PERIPHERAL,4,0.89,0.5
DRUG ADMINISTRATION ERROR,4,1.44,0.5
INFLUENZA,4,0.52,0.75
HERPES ZOSTER,4,3.23,0.5
MEMORY IMPAIRMENT,4,0.92,0.5
MOBILITY DECREASED,4,1.36,1.0
CHILLS,4,1.18,0.25
ALOPECIA,4,0.7,0.5
HYPERKALAEMIA,4,4.31,1.0
INTERNATIONAL NORMALISED RATIO INCREASED,4,4.31,1.0
DYSPEPSIA,4,1.29,0.25
WITHDRAWAL SYNDROME,3,3.23,1.0
BLOOD GLUCOSE INCREASED,3,1.14,1.0
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3,1.49,1.0
ULCER,3,9.69,1.0
POST PROCEDURAL HAEMORRHAGE,3,6.46,1.0
ORAL PAIN,3,9.69,0.0
APPLICATION SITE ERYTHEMA,3,0.81,0.33
EAR INFECTION,3,1.76,1.0
NEPHROGENIC SYSTEMIC FIBROSIS,3,1.08,1.0
PSORIASIS,3,3.23,1.0
INCREASED APPETITE,3,2.77,0.33
TRANSFUSION,3,1.94,0.33
DYSGEUSIA,3,0.81,0.33
INCONTINENCE,3,4.85,0.67
URTICARIA,3,0.88,0.67
LIVER FUNCTION TEST ABNORMAL,3,1.29,0.67
HAEMORRHAGE INTRACRANIAL,3,9.69,1.0
PHARYNGEAL OEDEMA,3,4.85,1.0
SEPSIS,3,1.14,1.0
HEPATIC FUNCTION ABNORMAL,3,6.46,1.0
CARDIAC FAILURE,3,1.62,1.0
HEPATIC FAILURE,3,4.85,1.0
OVERDOSE,3,0.16,0.33
HEART RATE INCREASED,3,0.59,1.0
CYST,3,9.69,0.67
PERIPHERAL SWELLING,3,0.29,1.0
HIP FRACTURE,3,3.23,1.0
ALANINE AMINOTRANSFERASE INCREASED,3,3.88,0.33
SKIN IRRITATION,3,3.88,0.33
CONDITION AGGRAVATED,3,0.61,0.67
MIGRAINE,3,0.92,0.0
WRONG TECHNIQUE IN DRUG USAGE PROCESS,3,1.38,0.33
FLUSHING,3,0.25,0.0
PLATELET COUNT ABNORMAL,3,4.85,0.0
BLISTER,3,1.14,0.0
CELLULITIS,3,1.94,0.33
CARDIAC ARREST,3,1.21,1.0
DISTURBANCE IN ATTENTION,3,2.42,1.0
RHABDOMYOLYSIS,3,3.23,1.0
CARDIAC FAILURE CONGESTIVE,3,0.84,1.0
BURNING SENSATION,3,1.29,0.33
THERAPY CESSATION,3,9.69,0.67
BLOOD CREATININE INCREASED,3,1.94,0.67
PARAESTHESIA,3,0.44,0.67
HYPONATRAEMIA,3,2.77,1.0
CONFUSIONAL STATE,3,0.78,1.0
LACRIMATION INCREASED,3,3.23,0.33
THROMBOCYTOPENIA,3,1.38,0.67
HAEMORRHOIDS,3,6.46,0.67
HOT FLUSH,3,1.62,0.33
SOMNOLENCE,3,0.46,0.0
PRESYNCOPE,3,1.49,1.0
HAEMORRHAGIC DIATHESIS,3,19.39,0.67
MELAENA,3,1.94,1.0
RENAL FAILURE ACUTE,3,1.14,1.0
THROMBOSIS,3,1.21,1.0
NEUTROPENIA,3,1.08,1.0
INCORRECT DOSE ADMINISTERED,3,0.75,1.0
HAEMORRHAGE,3,0.57,1.0
TRANSAMINASES INCREASED,3,2.77,1.0
FLUID RETENTION,3,0.27,0.33
BASAL CELL CARCINOMA,2,2.59,1.0
CATARACT,2,0.99,0.5
WHEEZING,2,0.65,0.5
COLD SWEAT,2,1.85,0.5
VISUAL IMPAIRMENT,2,0.56,1.0
DECUBITUS ULCER,2,4.31,1.0
DRUG WITHDRAWAL SYNDROME,2,1.44,1.0
DISCOMFORT,2,1.44,0.0
DEAFNESS,2,1.44,1.0
RESPIRATORY DISTRESS,2,1.62,1.0
EXPIRED DRUG ADMINISTERED,2,3.23,0.5
GLAUCOMA,2,1.85,1.0
HYPOACUSIS,2,3.23,0.5
DYSPHONIA,2,0.92,0.5
MUSCULOSKELETAL STIFFNESS,2,1.62,1.0
VISION BLURRED,2,0.5,0.5
CORONARY ARTERY OCCLUSION,2,2.15,1.0
SINUS BRADYCARDIA,2,3.23,1.0
INJECTION SITE PAIN,2,0.76,1.0
BLOOD POTASSIUM INCREASED,2,3.23,0.5
MENTAL STATUS CHANGES,2,1.29,1.0
VIITH NERVE PARALYSIS,2,12.93,1.0
SEXUAL DYSFUNCTION,2,2.59,1.0
INFLUENZA LIKE ILLNESS,2,0.68,0.0
HUMERUS FRACTURE,2,12.93,1.0
ADVERSE EVENT,2,0.59,0.0
RIB FRACTURE,2,1.62,1.0
OROPHARYNGEAL PAIN,2,0.68,0.5
TOOTH INFECTION,2,2.59,0.0
TENDERNESS,2,6.46,0.5
INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,2,0.48,0.5
COMPUTERISED TOMOGRAM ABNORMAL,2,12.93,1.0
RHINORRHOEA,2,0.65,0.5
WOUND,2,3.23,0.5
PULMONARY THROMBOSIS,2,2.15,1.0
JOINT STIFFNESS,2,12.93,0.5
PRODUCT QUALITY ISSUE,2,0.24,0.0
PRODUCTIVE COUGH,2,1.08,1.0
OESOPHAGITIS,2,6.46,1.0
GASTROOESOPHAGEAL REFLUX DISEASE,2,0.92,0.0
CHOLELITHIASIS,2,1.62,1.0
EYE INFECTION,2,12.93,0.5
GENERAL PHYSICAL HEALTH DETERIORATION,2,0.36,1.0
PEMPHIGOID,2,12.93,0.5
PANCYTOPENIA,2,1.18,1.0
THROMBOPHLEBITIS SUPERFICIAL,2,4.31,1.0
GOUT,2,1.85,0.0
JOINT SWELLING,2,0.68,1.0
BLOOD PRESSURE SYSTOLIC INCREASED,2,2.59,1.0
GASTRIC HAEMORRHAGE,2,3.23,1.0
DIABETES MELLITUS INADEQUATE CONTROL,2,4.31,0.5
NASAL CONGESTION,2,0.17,0.5
HYPOTONIA,2,4.31,1.0
SKIN DISORDER,2,1.44,0.5
JOINT INJURY,2,4.31,1.0
CYSTITIS,2,1.62,0.5
CARDIAC DISORDER,2,0.56,1.0
SENSATION OF HEAVINESS,2,12.93,0.0
DEMENTIA ALZHEIMER^S TYPE,2,6.46,1.0
INTERSTITIAL LUNG DISEASE,2,1.62,1.0
RASH PRURITIC,2,1.62,0.0
MATERNAL EXPOSURE DURING PREGNANCY,2,0.86,1.0
CHEST DISCOMFORT,2,0.36,0.5
GASTRITIS,2,3.23,1.0
SUBDURAL HAEMORRHAGE,2,4.31,1.0
NEPHROLITHIASIS,2,1.08,1.0
ARTHROPATHY,2,0.76,0.0
PANCREATITIS ACUTE,2,3.23,1.0
BRONCHITIS,2,0.33,1.0
CORONARY ARTERIAL STENT INSERTION,2,3.23,1.0
STOMATITIS,2,1.44,0.5
DEPRESSED LEVEL OF CONSCIOUSNESS,2,12.93,1.0
SLEEP DISORDER,2,0.92,1.0
HAEMOPTYSIS,2,1.62,1.0
ACUTE RESPIRATORY DISTRESS SYNDROME,2,3.23,1.0
CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,2,6.46,1.0
NO ADVERSE EVENT,2,0.72,1.0
SPEECH DISORDER,2,0.99,1.0
STRESS,2,0.92,1.0
ABASIA,2,1.08,1.0
TRANSIENT ISCHAEMIC ATTACK,2,2.15,1.0
ERUCTATION,2,1.85,1.0
VIRAL INFECTION,2,2.59,1.0
RENAL IMPAIRMENT,2,1.62,1.0
EYE DISORDER,2,1.29,0.5
TREATMENT NONCOMPLIANCE,2,3.23,0.5
CRYING,2,1.85,1.0
SWELLING,2,0.25,0.5
ACTIVITIES OF DAILY LIVING IMPAIRED,2,1.29,0.5
DEEP VEIN THROMBOSIS,2,0.62,1.0
PROSTATIC SPECIFIC ANTIGEN INCREASED,2,12.93,1.0
INCORRECT DRUG ADMINISTRATION DURATION,2,0.72,0.0
DRY EYE,2,1.85,0.5
BLINDNESS,2,1.08,1.0
RASH GENERALISED,2,1.29,0.5
HYPOTHYROIDISM,2,2.59,1.0
ARTERIOSCLEROSIS,2,12.93,1.0
PULMONARY OEDEMA,2,0.92,1.0
DRUG EFFECT DECREASED,2,0.35,0.5
HYPOGLYCAEMIA,2,2.59,1.0
INJURY,2,0.32,1.0
DYSARTHRIA,2,1.62,1.0
INGUINAL HERNIA,2,4.31,1.0
OSTEOMYELITIS,2,4.31,1.0
PROTHROMBIN TIME PROLONGED,2,6.46,1.0
EYE PRURITUS,2,3.23,0.5
LOCALISED INFECTION,2,1.85,1.0
SMALL FIBRE NEUROPATHY,2,6.46,1.0
PROCTALGIA,2,6.46,1.0
OSTEOPENIA,1,3.23,1.0
OSTEOPOROSIS,1,1.29,1.0
APPLICATION SITE PAIN,1,0.54,1.0
APPLICATION SITE VESICLES,1,0.72,1.0
APNOEA,1,1.62,1.0
BRAIN STEM HAEMORRHAGE,1,6.46,1.0
COGNITIVE DISORDER,1,0.59,1.0
BRAIN INJURY,1,2.15,1.0
GLUCOSE TOLERANCE IMPAIRED,1,0.92,1.0
DIABETIC VASCULAR DISORDER,1,3.23,1.0
IMPAIRED DRIVING ABILITY,1,2.15,1.0
DYSPHAGIA,1,0.65,1.0
BLOOD PRESSURE DECREASED,1,0.43,1.0
BLOOD URINE PRESENT,1,1.29,1.0
AGGRESSION,1,0.54,1.0
DELUSION,1,2.15,1.0
ORAL DISORDER,1,3.23,1.0
MUSCLE DISORDER,1,1.62,1.0
HERPES VIRUS INFECTION,1,2.15,1.0
RETCHING,1,1.62,0.0
SLEEP APNOEA SYNDROME,1,1.62,1.0
EJECTION FRACTION DECREASED,1,3.23,1.0
HYPOGONADISM,1,6.46,1.0
CARDIAC FAILURE ACUTE,1,3.23,1.0
VENTRICULAR FIBRILLATION,1,3.23,1.0
VENTRICULAR TACHYCARDIA,1,1.29,1.0
ISCHAEMIC CARDIOMYOPATHY,1,3.23,1.0
CORONARY ARTERY DISEASE,1,0.65,1.0
LEFT ATRIAL DILATATION,1,6.46,1.0
RESPIRATORY TRACT INFECTION,1,0.92,0.0
TOOTH LOSS,1,1.62,0.0
THERAPEUTIC RESPONSE DECREASED,1,0.81,1.0
OSTEOARTHRITIS,1,1.08,0.0
WOUND HAEMORRHAGE,1,6.46,1.0
SPLEEN DISORDER,1,6.46,0.0
BLAST CELL COUNT INCREASED,1,6.46,0.0
INTERVERTEBRAL DISC PROTRUSION,1,1.29,0.0
LETHARGY,1,0.72,0.0
NAIL DISCOLOURATION,1,6.46,0.0
ATYPICAL PNEUMONIA,1,6.46,1.0
CHEMICAL INJURY,1,2.15,0.0
FOOT DEFORMITY,1,3.23,0.0
IRON DEFICIENCY ANAEMIA,1,1.29,1.0
GENITAL RASH,1,6.46,0.0
CEREBELLAR ATAXIA,1,6.46,0.0
PRODUCT PHYSICAL ISSUE,1,3.23,1.0
ASTHMA,1,0.46,1.0
BLOOD GLUCOSE ABNORMAL,1,1.29,1.0
DRY MOUTH,1,0.32,0.0
NECK PAIN,1,0.81,0.0
CARDIAC MURMUR,1,2.15,0.0
CARDIOVASCULAR DISORDER,1,1.62,0.0
TOOTHACHE,1,1.62,0.0
UPPER RESPIRATORY TRACT CONGESTION,1,1.08,0.0
ORAL SURGERY,1,3.23,1.0
WHITE BLOOD CELL COUNT ABNORMAL,1,6.46,0.0
HEAD DISCOMFORT,1,1.62,0.0
NON-CARDIAC CHEST PAIN,1,6.46,0.0
MUCOSAL INFLAMMATION,1,1.62,1.0
FREQUENT BOWEL MOVEMENTS,1,3.23,1.0
LACTOSE INTOLERANCE,1,6.46,0.0
RESPIRATORY DISORDER,1,0.46,0.0
BLOOD GLUCOSE DECREASED,1,1.29,0.0
PETECHIAE,1,2.15,0.0
VERTIGO,1,0.46,0.0
OESOPHAGEAL PAIN,1,3.23,0.0
INTENTIONAL UNDERDOSE,1,0.81,1.0
GALLBLADDER DISORDER,1,0.92,1.0
SEPTIC SHOCK,1,0.72,1.0
CARDIO-RESPIRATORY ARREST,1,1.08,1.0
ADVERSE DRUG REACTION,1,0.81,0.0
SPONDYLITIS,1,6.46,0.0
ARTERIAL OCCLUSIVE DISEASE,1,3.23,1.0
REHABILITATION THERAPY,1,6.46,1.0
COAGULOPATHY,1,6.46,1.0
HOSPICE CARE,1,1.29,0.0
APPETITE DISORDER,1,6.46,0.0
PANCREATITIS,1,0.92,1.0
MALIGNANT MELANOMA IN SITU,1,6.46,1.0
UPPER-AIRWAY COUGH SYNDROME,1,2.15,0.0
THROAT IRRITATION,1,0.46,0.0
BLOOD POTASSIUM DECREASED,1,0.65,1.0
BLOOD CALCIUM INCREASED,1,6.46,1.0
PAIN IN JAW,1,0.92,1.0
EAR PAIN,1,2.15,1.0
THROAT TIGHTNESS,1,1.08,1.0
LIP SWELLING,1,0.81,1.0
SWELLING FACE,1,0.29,1.0
CAESAREAN SECTION,1,6.46,1.0
CHROMATURIA,1,1.62,1.0
ELECTROLYTE IMBALANCE,1,1.08,1.0
HERPES SIMPLEX,1,3.23,1.0
HEPATIC STEATOSIS,1,3.23,1.0
UNDERDOSE,1,1.62,1.0
SPINAL DISORDER,1,0.92,1.0
GRAFT VERSUS HOST DISEASE,1,1.62,1.0
STEM CELL TRANSPLANT,1,3.23,1.0
ARTERITIS,1,6.46,1.0
KIDNEY INFECTION,1,2.15,1.0
ARTERIOGRAM CORONARY ABNORMAL,1,6.46,1.0
CARDIAC STRESS TEST ABNORMAL,1,6.46,1.0
FURUNCLE,1,3.23,0.0
PSYCHOTIC DISORDER,1,1.29,1.0
SPINAL FRACTURE,1,2.15,1.0
DIALYSIS,1,3.23,1.0
INTESTINAL ISCHAEMIA,1,2.15,1.0
BRONCHIECTASIS,1,6.46,1.0
DUODENAL ULCER,1,6.46,1.0
MULTI-ORGAN FAILURE,1,0.81,1.0
INTESTINAL OBSTRUCTION,1,0.81,1.0
SCAR,1,0.72,1.0
PANIC ATTACK,1,0.54,0.0
HYPERLIPIDAEMIA,1,3.23,0.0
MYOPATHY,1,6.46,1.0
BIPOLAR DISORDER,1,1.62,0.0
ORGANISING PNEUMONIA,1,6.46,1.0
HYPERTHYROIDISM,1,6.46,1.0
STAPHYLOCOCCUS TEST POSITIVE,1,6.46,1.0
DISABILITY,1,2.15,1.0
MUSCLE CONTRACTIONS INVOLUNTARY,1,3.23,0.0
RENAL CYST,1,3.23,1.0
INFLAMMATION,1,0.92,1.0
STENT PLACEMENT,1,3.23,1.0
INTRA-ABDOMINAL HAEMORRHAGE,1,6.46,1.0
MULTIPLE SCLEROSIS RELAPSE,1,0.24,1.0
DEPRESSED MOOD,1,0.43,1.0
HAEMATOMA,1,1.08,1.0
DECREASED INTEREST,1,6.46,1.0
WHEELCHAIR USER,1,6.46,1.0
MULTIPLE SCLEROSIS,1,0.65,1.0
SPUTUM DISCOLOURED,1,6.46,1.0
EMBOLISM ARTERIAL,1,3.23,1.0
PERIPHERAL VASCULAR DISORDER,1,6.46,1.0
GASTRIC DISORDER,1,0.54,1.0
RASH ERYTHEMATOUS,1,1.62,0.0
PRODUCT ADHESION ISSUE,1,0.59,1.0
PRODUCT SUBSTITUTION ISSUE,1,1.08,1.0
INCORRECT PRODUCT STORAGE,1,3.23,0.0
LARGE INTESTINE POLYP,1,6.46,1.0
YELLOW SKIN,1,6.46,0.0
THROMBOTIC MICROANGIOPATHY,1,2.15,1.0
HAEMARTHROSIS,1,6.46,1.0
LABORATORY TEST ABNORMAL,1,1.62,0.0
ABDOMINAL TENDERNESS,1,3.23,0.0
ORAL MUCOSAL ERYTHEMA,1,6.46,0.0
URINARY INCONTINENCE,1,0.72,1.0
HYPERGLYCAEMIA,1,0.72,0.0
IRRITABILITY,1,0.43,1.0
INJECTION SITE HAEMATOMA,1,6.46,1.0
SLUGGISHNESS,1,6.46,0.0
LIVER DISORDER,1,0.59,0.0
PURULENT DISCHARGE,1,1.62,1.0
NEEDLE ISSUE,1,6.46,1.0
PULMONARY MASS,1,6.46,1.0
SUPRAVENTRICULAR TACHYCARDIA,1,6.46,1.0
BRADYPHRENIA,1,6.46,1.0
ELECTROCARDIOGRAM ABNORMAL,1,6.46,1.0
PRODUCT USE ISSUE,1,2.15,1.0
APPLICATION SITE PRURITUS,1,0.81,0.0
SCAB,1,0.92,1.0
INTENTIONAL DRUG MISUSE,1,0.54,1.0
APHAGIA,1,1.29,1.0
INCREASED BRONCHIAL SECRETION,1,2.15,1.0
LUNG INFECTION,1,0.81,1.0
THERAPEUTIC RESPONSE CHANGED,1,6.46,1.0
PRURITUS GENERALISED,1,0.92,1.0
OBSTRUCTIVE AIRWAYS DISORDER,1,3.23,1.0
INJECTION SITE ERYTHEMA,1,1.62,1.0
DIVERTICULITIS,1,1.08,1.0
APLASTIC ANAEMIA,1,3.23,1.0
INTERVERTEBRAL DISC DEGENERATION,1,2.15,1.0
LOWER GASTROINTESTINAL HAEMORRHAGE,1,1.29,1.0
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,1,1.62,1.0
CONCOMITANT DISEASE AGGRAVATED,1,3.23,1.0
SKIN CANCER,1,3.23,1.0
HEAD INJURY,1,0.59,1.0
FEELING HOT,1,0.38,0.0
MIDDLE INSOMNIA,1,1.29,0.0
SEIZURE,1,1.29,1.0
QRS AXIS ABNORMAL,1,6.46,1.0
BACTERIAL INFECTION,1,1.62,1.0
EATING DISORDER,1,0.92,1.0
ANGIOEDEMA,1,0.54,1.0
METASTASES TO BONE,1,1.62,1.0
CHRONIC LYMPHOCYTIC LEUKAEMIA,1,3.23,0.0
LACERATION,1,0.81,1.0
PULMONARY EMBOLISM,1,0.22,1.0
PRODUCT PACKAGING ISSUE,1,1.29,0.0
HEPATIC NEOPLASM,1,6.46,1.0
TENDON PAIN,1,6.46,1.0
NERVE INJURY,1,2.15,1.0
ULCER HAEMORRHAGE,1,6.46,1.0
BRAIN NEOPLASM,1,2.15,1.0
GASTROENTERITIS,1,1.62,1.0
DIABETIC NEUROPATHY,1,0.92,1.0
PURPURA,1,3.23,1.0
PLEURAL EFFUSION,1,0.34,0.0
DEMENTIA,1,6.46,1.0
DISORIENTATION,1,0.54,0.0
BLOOD ALKALINE PHOSPHATASE INCREASED,1,1.29,1.0
LOW DENSITY LIPOPROTEIN INCREASED,1,2.15,1.0
PREMATURE BABY,1,2.15,1.0
LOW BIRTH WEIGHT BABY,1,1.62,1.0
SUICIDAL IDEATION,1,0.36,1.0
PSYCHOMOTOR HYPERACTIVITY,1,1.08,1.0
NECROTISING COLITIS,1,3.23,1.0
AMNESIA,1,0.59,1.0
GRAND MAL CONVULSION,1,0.92,1.0
C-REACTIVE PROTEIN INCREASED,1,1.08,1.0
LEUKOPENIA,1,0.81,1.0
HYPOXIA,1,0.92,1.0
NEONATAL RESPIRATORY DISTRESS SYNDROME,1,1.62,1.0
MUSCLE SPASTICITY,1,3.23,1.0
DYSKINESIA,1,0.59,1.0
WRONG DRUG ADMINISTERED,1,3.23,1.0
INTRA-ABDOMINAL HAEMATOMA,1,6.46,1.0
PRODUCT LABEL ON WRONG PRODUCT,1,6.46,1.0
CYSTITIS HAEMORRHAGIC,1,2.15,1.0
SYNOVITIS,1,3.23,1.0
WRIST FRACTURE,1,1.08,1.0
VAGINAL HAEMORRHAGE,1,0.54,1.0
ANKLE FRACTURE,1,3.23,1.0
INTESTINAL PERFORATION,1,2.15,1.0
WOUND INFECTION,1,6.46,1.0
FOETAL EXPOSURE DURING PREGNANCY,1,0.46,1.0
PATHOLOGICAL FRACTURE,1,3.23,1.0
FOETAL GROWTH RESTRICTION,1,2.15,1.0
DEVICE DISLOCATION,1,0.32,1.0
PANCREATIC CARCINOMA,1,0.92,1.0
SWOLLEN TONGUE,1,0.81,1.0
RENAL DISORDER,1,0.81,1.0
SKIN HAEMORRHAGE,1,6.46,1.0
HAEMORRHAGIC ANAEMIA,1,3.23,1.0
JOINT DISLOCATION,1,6.46,1.0
HEMIPLEGIA,1,3.23,1.0
FEMUR FRACTURE,1,2.15,1.0
INFECTED CYST,1,6.46,1.0
PELVIC PAIN,1,1.62,1.0
JOINT RANGE OF MOTION DECREASED,1,3.23,1.0
CANDIDA INFECTION,1,6.46,1.0
CLOSTRIDIUM DIFFICILE INFECTION,1,1.62,1.0
PNEUMONITIS,1,1.62,1.0
KOUNIS SYNDROME,1,6.46,1.0
PHOTOPSIA,1,6.46,1.0
UPPER RESPIRATORY TRACT INFECTION,1,0.5,1.0
MENSTRUATION IRREGULAR,1,0.72,1.0
UTERINE LEIOMYOMA,1,3.23,1.0
SENSORY LOSS,1,1.29,1.0
PULSE ABSENT,1,6.46,1.0
APHASIA,1,0.81,1.0
PREMATURE LABOUR,1,6.46,1.0
LUPUS NEPHRITIS,1,6.46,1.0
PROTEINURIA,1,6.46,1.0
PULMONARY HYPERTENSION,1,6.46,1.0
MUSCULOSKELETAL CHEST PAIN,1,2.15,1.0
BLOOD CREATINE PHOSPHOKINASE INCREASED,1,2.15,1.0
ISCHAEMIC STROKE,1,3.23,1.0
SECRETION DISCHARGE,1,2.15,1.0
ACNE,1,1.08,1.0
ROSACEA,1,3.23,1.0
METASTASES TO LIVER,1,2.15,1.0
METASTASIS,1,1.62,1.0
CIRCULATORY COLLAPSE,1,1.62,1.0
MOVEMENT DISORDER,1,1.29,1.0
MOTOR DYSFUNCTION,1,3.23,1.0
ANAPHYLACTIC REACTION,1,0.81,1.0
SICK SINUS SYNDROME,1,6.46,1.0
EYE SWELLING,1,0.54,1.0
DIVERTICULUM INTESTINAL HAEMORRHAGIC,1,6.46,1.0
CHILLBLAINS,1,6.46,1.0
GASTROINTESTINAL DISORDER,1,0.38,1.0
PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,1,1.29,1.0
ANORECTAL DISCOMFORT,1,6.46,1.0
CATHETERISATION CARDIAC,1,1.29,1.0
LIMB DISCOMFORT,1,3.23,0.0
TERMINAL STATE,1,2.15,1.0
RETROPERITONEAL HAEMORRHAGE,1,6.46,1.0
HAEMORRHOIDAL HAEMORRHAGE,1,3.23,1.0
MILIARIA,1,3.23,1.0
MASS,1,2.15,1.0
INDURATION,1,6.46,1.0
OVARIAN CYST,1,2.15,1.0
SKIN SENSITISATION,1,6.46,1.0
PARALYSIS,1,2.15,1.0
